id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
412,You need inspection guidance for top-of-car clearances. Which ASME A17.2 section should you check first?,Accessibility scoping,New installation design rules,Inspection guidance for top-of-car clearances,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
413,"In ASME A17.2, what is the best starting section for an inspector researching escalator skirt panels?",Personnel hoists only,Inspection guidance for escalator skirt panels,New installation design rules,Accessibility scoping,B,ASME A17.2,inspection procedures,toc_navigation
414,"A field question points to combplates. Using ASME A17.2, where should you begin looking?",Personnel hoists only,New installation design rules,Accessibility scoping,Inspection guidance for combplates,D,ASME A17.2,inspection procedures,toc_navigation
415,You need inspection guidance for moving walks. Which ASME A17.2 section should you check first?,Accessibility scoping,Personnel hoists only,New installation design rules,Inspection guidance for moving walks,D,ASME A17.2,inspection procedures,toc_navigation
416,"In ASME A17.2, what is the best starting section for an inspector researching wheelchair turning space?",Accessibility scoping,Inspection guidance for wheelchair turning space,New installation design rules,Personnel hoists only,B,ASME A17.2,inspection procedures,toc_navigation
417,"A field question points to governors. Using ASME A17.2, where should you begin looking?",New installation design rules,Accessibility scoping,Personnel hoists only,Inspection guidance for governors,D,ASME A17.2,inspection procedures,toc_navigation
418,You need inspection guidance for counterweights. Which ASME A17.2 section should you check first?,Inspection guidance for counterweights,New installation design rules,Personnel hoists only,Accessibility scoping,A,ASME A17.2,inspection procedures,toc_navigation
419,"In ASME A17.2, what is the best starting section for an inspector researching emergency operations?",Accessibility scoping,Inspection guidance for emergency operations,Personnel hoists only,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
420,"A field question points to inspections. Using ASME A17.2, where should you begin looking?",New installation design rules,Personnel hoists only,Inspection guidance for inspections,Accessibility scoping,C,ASME A17.2,inspection procedures,toc_navigation
421,You need inspection guidance for acceptance inspections. Which ASME A17.2 section should you check first?,Inspection guidance for acceptance inspections,Personnel hoists only,Accessibility scoping,New installation design rules,A,ASME A17.2,inspection procedures,toc_navigation
422,"In ASME A17.2, what is the best starting section for an inspector researching existing installations?",New installation design rules,Personnel hoists only,Accessibility scoping,Inspection guidance for existing installations,D,ASME A17.2,inspection procedures,toc_navigation
423,"A field question points to conveyor guarding. Using ASME A17.2, where should you begin looking?",Personnel hoists only,Inspection guidance for conveyor guarding,Accessibility scoping,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
424,You need inspection guidance for demolition protection. Which ASME A17.2 section should you check first?,Accessibility scoping,Inspection guidance for demolition protection,Personnel hoists only,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
425,"In ASME A17.2, what is the best starting section for an inspector researching grounding?",Personnel hoists only,New installation design rules,Inspection guidance for grounding,Accessibility scoping,C,ASME A17.2,inspection procedures,toc_navigation
426,"A field question points to lighting. Using ASME A17.2, where should you begin looking?",Inspection guidance for lighting,Personnel hoists only,New installation design rules,Accessibility scoping,A,ASME A17.2,inspection procedures,toc_navigation
427,You need inspection guidance for pit ladders. Which ASME A17.2 section should you check first?,Inspection guidance for pit ladders,New installation design rules,Accessibility scoping,Personnel hoists only,A,ASME A17.2,inspection procedures,toc_navigation
428,"In ASME A17.2, what is the best starting section for an inspector researching car operating panels?",Inspection guidance for car operating panels,Accessibility scoping,Personnel hoists only,New installation design rules,A,ASME A17.2,inspection procedures,toc_navigation
429,"A field question points to accessibility dimensions. Using ASME A17.2, where should you begin looking?",Personnel hoists only,Inspection guidance for accessibility dimensions,Accessibility scoping,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
430,You need inspection guidance for shunt trip. Which ASME A17.2 section should you check first?,Accessibility scoping,Personnel hoists only,Inspection guidance for shunt trip,New installation design rules,C,ASME A17.2,inspection procedures,toc_navigation
431,"In ASME A17.2, what is the best starting section for an inspector researching machine rooms?",Inspection guidance for machine rooms,Personnel hoists only,New installation design rules,Accessibility scoping,A,ASME A17.2,inspection procedures,toc_navigation
432,"A field question points to control spaces. Using ASME A17.2, where should you begin looking?",Inspection guidance for control spaces,New installation design rules,Personnel hoists only,Accessibility scoping,A,ASME A17.2,inspection procedures,toc_navigation
433,You need inspection guidance for pits. Which ASME A17.2 section should you check first?,New installation design rules,Inspection guidance for pits,Accessibility scoping,Personnel hoists only,B,ASME A17.2,inspection procedures,toc_navigation
434,"In ASME A17.2, what is the best starting section for an inspector researching car enclosures?",Accessibility scoping,New installation design rules,Inspection guidance for car enclosures,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
435,"A field question points to fire service. Using ASME A17.2, where should you begin looking?",New installation design rules,Inspection guidance for fire service,Accessibility scoping,Personnel hoists only,B,ASME A17.2,inspection procedures,toc_navigation
436,You need inspection guidance for electrical disconnects. Which ASME A17.2 section should you check first?,Accessibility scoping,Personnel hoists only,New installation design rules,Inspection guidance for electrical disconnects,D,ASME A17.2,inspection procedures,toc_navigation
437,"In ASME A17.2, what is the best starting section for an inspector researching working clearances?",Inspection guidance for working clearances,New installation design rules,Accessibility scoping,Personnel hoists only,A,ASME A17.2,inspection procedures,toc_navigation
438,"A field question points to refuge spaces. Using ASME A17.2, where should you begin looking?",Accessibility scoping,Inspection guidance for refuge spaces,Personnel hoists only,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
439,You need inspection guidance for handrails. Which ASME A17.2 section should you check first?,Accessibility scoping,Personnel hoists only,Inspection guidance for handrails,New installation design rules,C,ASME A17.2,inspection procedures,toc_navigation
440,"In ASME A17.2, what is the best starting section for an inspector researching step demarcation?",New installation design rules,Accessibility scoping,Inspection guidance for step demarcation,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
441,"A field question points to platform lift landings. Using ASME A17.2, where should you begin looking?",Inspection guidance for platform lift landings,Personnel hoists only,Accessibility scoping,New installation design rules,A,ASME A17.2,inspection procedures,toc_navigation
442,You need inspection guidance for door locking devices. Which ASME A17.2 section should you check first?,Accessibility scoping,Inspection guidance for door locking devices,Personnel hoists only,New installation design rules,B,ASME A17.2,inspection procedures,toc_navigation
443,"In ASME A17.2, what is the best starting section for an inspector researching safeties?",Inspection guidance for safeties,New installation design rules,Personnel hoists only,Accessibility scoping,A,ASME A17.2,inspection procedures,toc_navigation
444,"A field question points to signage. Using ASME A17.2, where should you begin looking?",Accessibility scoping,New installation design rules,Inspection guidance for signage,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
445,You need inspection guidance for maintenance records. Which ASME A17.2 section should you check first?,New installation design rules,Accessibility scoping,Inspection guidance for maintenance records,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
446,"In ASME A17.2, what is the best starting section for an inspector researching tests?",New installation design rules,Accessibility scoping,Inspection guidance for tests,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
447,"A field question points to alterations. Using ASME A17.2, where should you begin looking?",Inspection guidance for alterations,New installation design rules,Personnel hoists only,Accessibility scoping,A,ASME A17.2,inspection procedures,toc_navigation
448,You need inspection guidance for temporary personnel hoists. Which ASME A17.2 section should you check first?,New installation design rules,Inspection guidance for temporary personnel hoists,Accessibility scoping,Personnel hoists only,B,ASME A17.2,inspection procedures,toc_navigation
449,"In ASME A17.2, what is the best starting section for an inspector researching construction barricades?",Inspection guidance for construction barricades,Accessibility scoping,Personnel hoists only,New installation design rules,A,ASME A17.2,inspection procedures,toc_navigation
450,"A field question points to wiring methods. Using ASME A17.2, where should you begin looking?",Accessibility scoping,New installation design rules,Inspection guidance for wiring methods,Personnel hoists only,C,ASME A17.2,inspection procedures,toc_navigation
451,Which part of ASME A17.3 would you open first to research pit ladders on existing elevators?,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
452,A question involves car operating panels on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
453,"To locate retrofit-related guidance for accessibility dimensions, where would you begin in ASME A17.3?",New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,C,ASME A17.3,existing elevators,toc_navigation
454,Which part of ASME A17.3 would you open first to research shunt trip on existing elevators?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
455,A question involves machine rooms on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
456,"To locate retrofit-related guidance for control spaces, where would you begin in ASME A17.3?",Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
457,Which part of ASME A17.3 would you open first to research pits on existing elevators?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
458,A question involves car enclosures on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
459,"To locate retrofit-related guidance for fire service, where would you begin in ASME A17.3?",New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
460,Which part of ASME A17.3 would you open first to research electrical disconnects on existing elevators?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
461,A question involves working clearances on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
462,"To locate retrofit-related guidance for refuge spaces, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
463,Which part of ASME A17.3 would you open first to research handrails on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
464,A question involves step demarcation on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
465,"To locate retrofit-related guidance for platform lift landings, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
466,Which part of ASME A17.3 would you open first to research door locking devices on existing elevators?,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,B,ASME A17.3,existing elevators,toc_navigation
467,A question involves safeties on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
468,"To locate retrofit-related guidance for signage, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
469,Which part of ASME A17.3 would you open first to research maintenance records on existing elevators?,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
470,A question involves tests on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
471,"To locate retrofit-related guidance for alterations, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
472,Which part of ASME A17.3 would you open first to research temporary personnel hoists on existing elevators?,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,Conveyor operations,New equipment acceptance tests,B,ASME A17.3,existing elevators,toc_navigation
473,A question involves construction barricades on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
474,"To locate retrofit-related guidance for wiring methods, where would you begin in ASME A17.3?",Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
475,Which part of ASME A17.3 would you open first to research machine-room ventilation on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
476,A question involves access doors on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
477,"To locate retrofit-related guidance for clear floor space, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
478,Which part of ASME A17.3 would you open first to research hall stations on existing elevators?,Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
479,A question involves elevator lobby protection on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Conveyor operations,New equipment acceptance tests,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
480,"To locate retrofit-related guidance for overcurrent protection, where would you begin in ASME A17.3?",New equipment acceptance tests,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
481,Which part of ASME A17.3 would you open first to research machinery spaces on existing elevators?,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
482,A question involves hoistways on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,C,ASME A17.3,existing elevators,toc_navigation
483,"To locate retrofit-related guidance for buffers, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
484,Which part of ASME A17.3 would you open first to research door reopening devices on existing elevators?,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
485,A question involves standby power on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,B,ASME A17.3,existing elevators,toc_navigation
486,"To locate retrofit-related guidance for controller access, where would you begin in ASME A17.3?",Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
487,Which part of ASME A17.3 would you open first to research top-of-car clearances on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
488,A question involves escalator skirt panels on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
489,"To locate retrofit-related guidance for combplates, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
490,Which part of ASME A17.3 would you open first to research moving walks on existing elevators?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
491,A question involves wheelchair turning space on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
492,"To locate retrofit-related guidance for governors, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
493,Which part of ASME A17.3 would you open first to research counterweights on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
494,A question involves emergency operations on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
495,"To locate retrofit-related guidance for inspections, where would you begin in ASME A17.3?",Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
496,Which part of ASME A17.3 would you open first to research acceptance inspections on existing elevators?,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
497,A question involves existing installations on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
498,"To locate retrofit-related guidance for conveyor guarding, where would you begin in ASME A17.3?",Conveyor operations,New equipment acceptance tests,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
499,Which part of ASME A17.3 would you open first to research demolition protection on existing elevators?,New equipment acceptance tests,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
500,A question involves grounding on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
501,"To locate retrofit-related guidance for lighting, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
502,Which part of ASME A17.3 would you open first to research pit ladders on existing elevators?,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
503,A question involves car operating panels on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
504,"To locate retrofit-related guidance for accessibility dimensions, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
505,Which part of ASME A17.3 would you open first to research shunt trip on existing elevators?,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
506,A question involves machine rooms on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
507,"To locate retrofit-related guidance for control spaces, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
508,Which part of ASME A17.3 would you open first to research pits on existing elevators?,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
509,A question involves car enclosures on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,B,ASME A17.3,existing elevators,toc_navigation
510,"To locate retrofit-related guidance for fire service, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,Conveyor operations,New equipment acceptance tests,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
511,Which part of ASME A17.3 would you open first to research electrical disconnects on existing elevators?,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
512,A question involves working clearances on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
513,"To locate retrofit-related guidance for refuge spaces, where would you begin in ASME A17.3?",Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
514,Which part of ASME A17.3 would you open first to research handrails on existing elevators?,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
515,A question involves step demarcation on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
516,"To locate retrofit-related guidance for platform lift landings, where would you begin in ASME A17.3?",Conveyor operations,New equipment acceptance tests,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
517,Which part of ASME A17.3 would you open first to research door locking devices on existing elevators?,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,New equipment acceptance tests,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
518,A question involves safeties on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,C,ASME A17.3,existing elevators,toc_navigation
519,"To locate retrofit-related guidance for signage, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
520,Which part of ASME A17.3 would you open first to research maintenance records on existing elevators?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
521,A question involves tests on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
522,"To locate retrofit-related guidance for alterations, where would you begin in ASME A17.3?",Scaffolding and hoisting safety,New equipment acceptance tests,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
523,Which part of ASME A17.3 would you open first to research temporary personnel hoists on existing elevators?,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
524,A question involves construction barricades on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
525,"To locate retrofit-related guidance for wiring methods, where would you begin in ASME A17.3?",New equipment acceptance tests,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
526,Which part of ASME A17.3 would you open first to research machine-room ventilation on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
527,A question involves access doors on an older installation. Which ASME A17.3 topic is the best first stop?,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
528,"To locate retrofit-related guidance for clear floor space, where would you begin in ASME A17.3?",New equipment acceptance tests,Scaffolding and hoisting safety,Conveyor operations,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
529,Which part of ASME A17.3 would you open first to research hall stations on existing elevators?,Existing installations and alteration-related requirements,Conveyor operations,New equipment acceptance tests,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
530,A question involves elevator lobby protection on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
531,"To locate retrofit-related guidance for overcurrent protection, where would you begin in ASME A17.3?",New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
532,Which part of ASME A17.3 would you open first to research machinery spaces on existing elevators?,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,D,ASME A17.3,existing elevators,toc_navigation
533,A question involves hoistways on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
534,"To locate retrofit-related guidance for buffers, where would you begin in ASME A17.3?",New equipment acceptance tests,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,Conveyor operations,C,ASME A17.3,existing elevators,toc_navigation
535,Which part of ASME A17.3 would you open first to research door reopening devices on existing elevators?,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,Conveyor operations,A,ASME A17.3,existing elevators,toc_navigation
536,A question involves standby power on an older installation. Which ASME A17.3 topic is the best first stop?,New equipment acceptance tests,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,Conveyor operations,B,ASME A17.3,existing elevators,toc_navigation
537,"To locate retrofit-related guidance for controller access, where would you begin in ASME A17.3?",Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
538,Which part of ASME A17.3 would you open first to research top-of-car clearances on existing elevators?,Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,C,ASME A17.3,existing elevators,toc_navigation
539,A question involves escalator skirt panels on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Scaffolding and hoisting safety,Existing installations and alteration-related requirements,New equipment acceptance tests,C,ASME A17.3,existing elevators,toc_navigation
540,"To locate retrofit-related guidance for combplates, where would you begin in ASME A17.3?",Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
541,Which part of ASME A17.3 would you open first to research moving walks on existing elevators?,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,Conveyor operations,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
542,A question involves wheelchair turning space on an older installation. Which ASME A17.3 topic is the best first stop?,Existing installations and alteration-related requirements,New equipment acceptance tests,Conveyor operations,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
543,"To locate retrofit-related guidance for governors, where would you begin in ASME A17.3?",Conveyor operations,New equipment acceptance tests,Existing installations and alteration-related requirements,Scaffolding and hoisting safety,C,ASME A17.3,existing elevators,toc_navigation
544,Which part of ASME A17.3 would you open first to research counterweights on existing elevators?,Existing installations and alteration-related requirements,Conveyor operations,Scaffolding and hoisting safety,New equipment acceptance tests,A,ASME A17.3,existing elevators,toc_navigation
545,A question involves emergency operations on an older installation. Which ASME A17.3 topic is the best first stop?,Conveyor operations,Existing installations and alteration-related requirements,New equipment acceptance tests,Scaffolding and hoisting safety,B,ASME A17.3,existing elevators,toc_navigation
546,"To locate retrofit-related guidance for inspections, where would you begin in ASME A17.3?",Existing installations and alteration-related requirements,Conveyor operations,New equipment acceptance tests,Scaffolding and hoisting safety,A,ASME A17.3,existing elevators,toc_navigation
